text,intent,sentiment,user_type
"Can you please confirm, price of ZENDStorage 10TB in Singapore during peak hours.",Product Inquiry,Informational,Existing User
"Kindly help me with, internet speed is extremely slow on Postpaid Gold in Singapore after my recent upgrade.",Technical,Frustrated,New User
"I have a concern about, billing experience has been smooth so far as part of my annual plan.",Billing,Satisfied,New User
"Hi team, cost of ZENDFiber Home 100 Mbps is too high for my home connection.",Product Inquiry,Frustrated,New User
"Can you please confirm, cost of ZENDEnterprise Ultra is too high for my home connection.",Product Inquiry,Frustrated,Existing User
"I would like to know, network performance has been excellent on ZENDOffice Net 500 since last week.",Technical,Satisfied,Existing User
"Hope you’re doing well, network performance has been excellent on ZENDSmart Parking for my office network.",Technical,Satisfied,Existing User
"Good morning, very unhappy with ZENDOffice Net 500 service for my office network.",Complaint,Frustrated,Existing User
"Hi team, explain billing cycle for ZENDArchive Storage since last week.",Billing,Informational,Existing User
"Can you please confirm, refund not processed for ZENDFiber Home 300 Mbps after my recent upgrade.",Refund,Frustrated,Existing User
"Hi team, how to raise complaint for ZENDEnterprise Dedicated for international usage.",Complaint,Informational,Existing User
"Kindly help me with, my ZENDEnterprise Dedicated connection keeps disconnecting in USA after my recent upgrade.",Technical,Frustrated,Existing User
"I need assistance regarding, refund eligibility for ZENDBiz Connect 100 after my recent upgrade.",Refund,Informational,Existing User
"Hope you’re doing well, explain billing cycle for Prepaid Basic 5GB under my current subscription.",Billing,Informational,Existing User
"I have a concern about, internet speed is extremely slow on ZENDIndustrial Sensor in USA for international usage.",Technical,Frustrated,Existing User
"Good morning, my ZENDCloud VM Enterprise connection keeps disconnecting in USA for my office network.",Technical,Frustrated,Existing User
"I wanted to check, installation time for ZENDFiber Home 1 Gbps in USA as part of my annual plan.",Technical,Informational,Existing User
"I have a concern about, installation time for Prepaid Basic 5GB in USA for international usage.",Technical,Informational,Existing User
"I need assistance regarding, refund eligibility for Prepaid Unlimited for my home connection.",Refund,Informational,Existing User
"Kindly help me with, explain billing cycle for ZENDStorage 1TB after installation.",Billing,Informational,Existing User
"Can you please confirm, cost of ZENDEnterprise Dedicated is too high after my recent upgrade.",Product Inquiry,Frustrated,New User
"I need assistance regarding, explain billing cycle for Prepaid Unlimited after installation.",Billing,Informational,Existing User
"I would like to know, internet speed is extremely slow on ZENDCloud VM Enterprise in India under my current subscription.",Technical,Frustrated,Existing User
"Can you please confirm, explain billing cycle for ZENDStorage 1TB for my office network.",Billing,Informational,Existing User
"Can you please confirm, refund not processed for ZENDBiz Connect 100 for international usage.",Refund,Frustrated,Existing User
"Hello support, explain billing cycle for ZENDEnterprise Ultra after installation.",Billing,Informational,Existing User
"I need assistance regarding, refund not processed for ZENDFleet IoT after my recent upgrade.",Refund,Frustrated,Existing User
"I would like to know, refund not processed for ZENDEnterprise Dedicated for enterprise usage.",Refund,Frustrated,New User
"Good morning, installation time for ZENDOffice Net 200 in Thailand since last week.",Technical,Informational,Existing User
"Can you please confirm, billing charges for ZENDBiz Connect 100 seem incorrect in Singapore under my current subscription.",Billing,Frustrated,Existing User
"I need assistance regarding, billing charges for Prepaid Basic 5GB seem incorrect in Thailand for international usage.",Billing,Frustrated,Existing User
"I need assistance regarding, very unhappy with Postpaid Platinum service for international usage.",Complaint,Frustrated,Existing User
"Hope you’re doing well, explain billing cycle for ZENDCloud VM Enterprise for my office network.",Billing,Informational,New User
"Hope you’re doing well, billing charges for Postpaid Gold seem incorrect in USA for enterprise usage.",Billing,Frustrated,Existing User
"Good morning, cost of ZENDCloud VM Enterprise is too high for my office network.",Product Inquiry,Frustrated,Existing User
"I wanted to check, billing charges for ZENDFiber Home 100 Mbps seem incorrect in India for my office network.",Billing,Frustrated,Existing User
"I need assistance regarding, very unhappy with ZENDFiber Home 300 Mbps service after my recent upgrade.",Complaint,Frustrated,New User
"I would like to know, cost of ZENDStorage 1TB is too high during peak hours.",Product Inquiry,Frustrated,New User
"I have a concern about, refund was credited quickly for my office network.",Refund,Satisfied,New User
"Hello support, very unhappy with Postpaid Gold service for enterprise usage.",Complaint,Frustrated,Existing User
"Good morning, cost of ZENDCloud VM Enterprise is too high for international usage.",Product Inquiry,Frustrated,Existing User
"I have a concern about, network performance has been excellent on ZENDEnterprise Ultra as part of my annual plan.",Technical,Satisfied,Existing User
"Good morning, explain billing cycle for ZENDSmart Lighting for international usage.",Billing,Informational,Existing User
"I need assistance regarding, how to raise complaint for ZENDSmart Traffic for international usage.",Complaint,Informational,Existing User
"Can you please confirm, features included in Postpaid Platinum for my office network.",Product Inquiry,Informational,Existing User
"Kindly help me with, installation time for ZENDOffice Net 1G in Singapore for my office network.",Technical,Informational,Existing User
"Hi team, Prepaid Basic 5GB offers great value for money after my recent upgrade.",Product Inquiry,Satisfied,New User
"I wanted to check, very unhappy with Postpaid Gold service under my current subscription.",Complaint,Frustrated,New User
"Hi team, how to raise complaint for ZENDBiz Connect 100 after my recent upgrade.",Complaint,Informational,Existing User
"Hello support, very unhappy with Prepaid Unlimited service for my office network.",Complaint,Frustrated,Existing User
"Hi team, very unhappy with ZENDOffice Net 200 service since last week.",Complaint,Frustrated,Existing User
"I would like to know, billing charges for Prepaid Basic 5GB seem incorrect in USA under my current subscription.",Billing,Frustrated,New User
"I need assistance regarding, explain billing cycle for ZENDCloud VM Basic after installation.",Billing,Informational,Existing User
"Kindly help me with, price of ZENDOffice Net 500 in India for my home connection.",Product Inquiry,Informational,New User
"Hi team, cost of ZENDFiber Home 100 Mbps is too high as part of my annual plan.",Product Inquiry,Frustrated,Existing User
"Can you please confirm, features included in ZENDCloud VM Basic under my current subscription.",Product Inquiry,Informational,New User
"Hope you’re doing well, price of ZENDFiber Home 1 Gbps in USA under my current subscription.",Product Inquiry,Informational,New User
"Hope you’re doing well, features included in ZENDFiber Home 100 Mbps during peak hours.",Product Inquiry,Informational,New User
"I wanted to check, refund eligibility for ZENDFiber Home 300 Mbps for enterprise usage.",Refund,Informational,Existing User
"I would like to know, features included in Prepaid Unlimited for my home connection.",Product Inquiry,Informational,New User
"Good morning, price of Postpaid Silver in Singapore during peak hours.",Product Inquiry,Informational,Existing User
"Hope you’re doing well, explain billing cycle for ZENDCloud VM Basic for my home connection.",Billing,Informational,New User
"Hello support, refund was credited quickly after my recent upgrade.",Refund,Satisfied,Existing User
"Hello support, explain billing cycle for ZENDBiz Connect 500 as part of my annual plan.",Billing,Informational,New User
"I would like to know, very unhappy with ZENDBiz Connect 100 service under my current subscription.",Complaint,Frustrated,Existing User
"I wanted to check, ZENDStorage 1TB offers great value for money during peak hours.",Product Inquiry,Satisfied,New User
"I need assistance regarding, billing charges for Prepaid Unlimited seem incorrect in Singapore after my recent upgrade.",Billing,Frustrated,Existing User
"I need assistance regarding, refund not processed for ZENDSmart Traffic during peak hours.",Refund,Frustrated,Existing User
"Can you please confirm, very unhappy with Postpaid Silver service during peak hours.",Complaint,Frustrated,Existing User
"Can you please confirm, explain billing cycle for ZENDOffice Net 200 since last week.",Billing,Informational,Existing User
"I wanted to check, internet speed is extremely slow on ZENDFiber Home 1 Gbps in India as part of my annual plan.",Technical,Frustrated,Existing User
"Hello support, features included in ZENDStorage 10TB under my current subscription.",Product Inquiry,Informational,New User
"Hello support, ZENDEnterprise Ultra offers great value for money under my current subscription.",Product Inquiry,Satisfied,New User
"Good morning, installation time for ZENDBiz Connect 100 in USA after my recent upgrade.",Technical,Informational,New User
"I need assistance regarding, refund eligibility for ZENDSmart Lighting for enterprise usage.",Refund,Informational,Existing User
"I wanted to check, Postpaid Platinum offers great value for money for enterprise usage.",Product Inquiry,Satisfied,Existing User
"I would like to know, features included in ZENDArchive Storage after my recent upgrade.",Product Inquiry,Informational,New User
"Hope you’re doing well, installation time for ZENDFiber Home 100 Mbps in Singapore for international usage.",Technical,Informational,Existing User
"I need assistance regarding, billing charges for ZENDArchive Storage seem incorrect in India after installation.",Billing,Frustrated,Existing User
"I would like to know, features included in ZENDFiber Home 100 Mbps under my current subscription.",Product Inquiry,Informational,Existing User
"I wanted to check, billing charges for ZENDBiz Connect 1G seem incorrect in India under my current subscription.",Billing,Frustrated,Existing User
"Kindly help me with, cost of ZENDIndustrial Sensor is too high for my home connection.",Product Inquiry,Frustrated,New User
"Hi team, cost of Prepaid Unlimited is too high for international usage.",Product Inquiry,Frustrated,Existing User
"Can you please confirm, installation time for ZENDCloud VM Pro in India for my home connection.",Technical,Informational,Existing User
"I have a concern about, how to raise complaint for ZENDOffice Net 200 during peak hours.",Complaint,Informational,Existing User
"Can you please confirm, very unhappy with ZENDBiz Connect 1G service for enterprise usage.",Complaint,Frustrated,Existing User
"I would like to know, internet speed is extremely slow on ZENDBiz Connect 500 in Singapore for my office network.",Technical,Frustrated,Existing User
"Hi team, cost of ZENDEnterprise Dedicated is too high for my office network.",Product Inquiry,Frustrated,Existing User
"I would like to know, cost of ZENDOffice Net 500 is too high under my current subscription.",Product Inquiry,Frustrated,New User
"Kindly help me with, how to raise complaint for ZENDStorage 1TB for enterprise usage.",Complaint,Informational,Existing User
"Kindly help me with, refund not processed for ZENDCloud VM Enterprise for my home connection.",Refund,Frustrated,Existing User
"Hi team, internet speed is extremely slow on ZENDEnterprise Ultra in USA for my home connection.",Technical,Frustrated,Existing User
"I wanted to check, my Prepaid Unlimited connection keeps disconnecting in USA after my recent upgrade.",Technical,Frustrated,Existing User
"I wanted to check, my ZENDOffice Net 500 connection keeps disconnecting in India as part of my annual plan.",Technical,Frustrated,Existing User
"I need assistance regarding, very unhappy with Prepaid Plus 20GB service under my current subscription.",Complaint,Frustrated,Existing User
"Hope you’re doing well, my ZENDBiz Connect 100 connection keeps disconnecting in Singapore for enterprise usage.",Technical,Frustrated,Existing User
"I wanted to check, billing charges for Postpaid Silver seem incorrect in Thailand as part of my annual plan.",Billing,Frustrated,New User
"Kindly help me with, my ZENDArchive Storage connection keeps disconnecting in Singapore after my recent upgrade.",Technical,Frustrated,New User
"I have a concern about, refund not processed for ZENDFleet IoT after installation.",Refund,Frustrated,New User
"I have a concern about, billing charges for ZENDEnterprise Ultra seem incorrect in Singapore as part of my annual plan.",Billing,Frustrated,New User
"I need assistance regarding, my ZENDSmart Traffic connection keeps disconnecting in Singapore under my current subscription.",Technical,Frustrated,Existing User
"I have a concern about, billing charges for ZENDSmart Parking seem incorrect in India for international usage.",Billing,Frustrated,Existing User
"Good morning, network performance has been excellent on Postpaid Platinum after installation.",Technical,Satisfied,Existing User
"I wanted to check, features included in ZENDOffice Net 200 for international usage.",Product Inquiry,Informational,New User
"Can you please confirm, refund eligibility for ZENDStorage 1TB under my current subscription.",Refund,Informational,Existing User
"I have a concern about, internet speed is extremely slow on ZENDCloud VM Enterprise in India since last week.",Technical,Frustrated,New User
"Hi team, ZENDIndustrial Sensor offers great value for money since last week.",Product Inquiry,Satisfied,Existing User
"Kindly help me with, internet speed is extremely slow on ZENDEnterprise Ultra in India for my home connection.",Technical,Frustrated,Existing User
"I would like to know, my Postpaid Gold connection keeps disconnecting in India for my office network.",Technical,Frustrated,Existing User
"I have a concern about, how to raise complaint for ZENDCloud VM Enterprise for international usage.",Complaint,Informational,Existing User
"Can you please confirm, price of ZENDOffice Net 1G in Thailand for my home connection.",Product Inquiry,Informational,New User
"I wanted to check, explain billing cycle for ZENDFiber Home 1 Gbps for international usage.",Billing,Informational,Existing User
"I have a concern about, cost of ZENDBiz Connect 1G is too high for enterprise usage.",Product Inquiry,Frustrated,New User
"Can you please confirm, installation time for ZENDStorage 1TB in USA since last week.",Technical,Informational,Existing User
"I wanted to check, installation time for ZENDEnterprise Ultra in Thailand for international usage.",Technical,Informational,Existing User
"I wanted to check, refund not processed for ZENDSmart Traffic under my current subscription.",Refund,Frustrated,New User
"Hope you’re doing well, cost of ZENDOffice Net 500 is too high during peak hours.",Product Inquiry,Frustrated,Existing User
"I would like to know, internet speed is extremely slow on ZENDCloud VM Pro in USA since last week.",Technical,Frustrated,Existing User
"I need assistance regarding, my Postpaid Platinum connection keeps disconnecting in Thailand during peak hours.",Technical,Frustrated,Existing User
"Hello support, cost of ZENDArchive Storage is too high for enterprise usage.",Product Inquiry,Frustrated,New User
"I have a concern about, very unhappy with Postpaid Silver service as part of my annual plan.",Complaint,Frustrated,Existing User
"Good morning, explain billing cycle for Postpaid Gold for international usage.",Billing,Informational,Existing User
"Hello support, cost of ZENDFleet IoT is too high for my home connection.",Product Inquiry,Frustrated,New User
"I would like to know, refund eligibility for ZENDArchive Storage for my office network.",Refund,Informational,Existing User
"Hope you’re doing well, internet speed is extremely slow on ZENDBiz Connect 100 in USA under my current subscription.",Technical,Frustrated,New User
"Good morning, installation time for ZENDStorage 1TB in India for enterprise usage.",Technical,Informational,Existing User
"I would like to know, my ZENDSmart Parking connection keeps disconnecting in India after installation.",Technical,Frustrated,Existing User
"I need assistance regarding, refund not processed for ZENDFiber Home 1 Gbps for my office network.",Refund,Frustrated,Existing User
"I would like to know, billing charges for ZENDStorage 1TB seem incorrect in Singapore for international usage.",Billing,Frustrated,Existing User
"Can you please confirm, ZENDEnterprise Ultra offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"Good morning, billing charges for ZENDFleet IoT seem incorrect in Thailand for my home connection.",Billing,Frustrated,Existing User
"I would like to know, price of Prepaid Basic 5GB in Thailand for enterprise usage.",Product Inquiry,Informational,Existing User
"I wanted to check, installation time for ZENDArchive Storage in India for my home connection.",Technical,Informational,New User
"I would like to know, billing charges for ZENDStorage 10TB seem incorrect in Thailand for my home connection.",Billing,Frustrated,Existing User
"I have a concern about, refund eligibility for ZENDIndustrial Sensor since last week.",Refund,Informational,Existing User
"I would like to know, internet speed is extremely slow on ZENDEnterprise Dedicated in Singapore under my current subscription.",Technical,Frustrated,Existing User
"I have a concern about, refund eligibility for ZENDFiber Home 1 Gbps after my recent upgrade.",Refund,Informational,Existing User
"Good morning, billing charges for ZENDBiz Connect 100 seem incorrect in Thailand under my current subscription.",Billing,Frustrated,Existing User
"I need assistance regarding, installation time for Postpaid Silver in Thailand after my recent upgrade.",Technical,Informational,Existing User
"Hope you’re doing well, explain billing cycle for ZENDFiber Home 300 Mbps as part of my annual plan.",Billing,Informational,Existing User
"I have a concern about, billing experience has been smooth so far for international usage.",Billing,Satisfied,New User
"I have a concern about, refund eligibility for ZENDCloud VM Basic for international usage.",Refund,Informational,New User
"Hello support, features included in ZENDStorage 1TB for international usage.",Product Inquiry,Informational,New User
"I wanted to check, price of ZENDStorage 10TB in India for enterprise usage.",Product Inquiry,Informational,New User
"Kindly help me with, refund not processed for ZENDBiz Connect 1G since last week.",Refund,Frustrated,Existing User
"Kindly help me with, billing charges for ZENDOffice Net 200 seem incorrect in India after my recent upgrade.",Billing,Frustrated,Existing User
"I wanted to check, ZENDCloud VM Basic offers great value for money for my home connection.",Product Inquiry,Satisfied,New User
"Good morning, how to raise complaint for ZENDOffice Net 500 for my home connection.",Complaint,Informational,Existing User
"Hi team, explain billing cycle for ZENDBiz Connect 500 as part of my annual plan.",Billing,Informational,Existing User
"Hope you’re doing well, how to raise complaint for ZENDSmart Traffic after my recent upgrade.",Complaint,Informational,Existing User
"Hello support, how to raise complaint for ZENDSmart Lighting for my home connection.",Complaint,Informational,Existing User
"Hi team, installation time for ZENDFiber Home 300 Mbps in Thailand as part of my annual plan.",Technical,Informational,Existing User
"Can you please confirm, price of ZENDFiber Home 1 Gbps in India after my recent upgrade.",Product Inquiry,Informational,Existing User
"Kindly help me with, network performance has been excellent on ZENDCloud VM Pro under my current subscription.",Technical,Satisfied,Existing User
"Can you please confirm, price of ZENDBiz Connect 500 in India for enterprise usage.",Product Inquiry,Informational,New User
"Hi team, explain billing cycle for ZENDSmart Parking for my home connection.",Billing,Informational,Existing User
"Can you please confirm, cost of ZENDCloud VM Basic is too high under my current subscription.",Product Inquiry,Frustrated,New User
"Kindly help me with, features included in ZENDIndustrial Sensor since last week.",Product Inquiry,Informational,New User
"Hello support, explain billing cycle for ZENDBiz Connect 1G as part of my annual plan.",Billing,Informational,Existing User
"Hello support, how to raise complaint for Postpaid Platinum for enterprise usage.",Complaint,Informational,Existing User
"Hi team, refund eligibility for ZENDSmart Traffic for my home connection.",Refund,Informational,New User
"Hope you’re doing well, explain billing cycle for ZENDEnterprise Dedicated since last week.",Billing,Informational,Existing User
"Kindly help me with, very unhappy with Prepaid Basic 5GB service for enterprise usage.",Complaint,Frustrated,Existing User
"I have a concern about, features included in ZENDIndustrial Sensor for my home connection.",Product Inquiry,Informational,New User
"Hello support, cost of Postpaid Gold is too high for my office network.",Product Inquiry,Frustrated,New User
"Good morning, my ZENDOffice Net 200 connection keeps disconnecting in Thailand for my office network.",Technical,Frustrated,Existing User
"Hello support, price of ZENDOffice Net 1G in Thailand for my home connection.",Product Inquiry,Informational,New User
"Good morning, ZENDFiber Home 100 Mbps offers great value for money after installation.",Product Inquiry,Satisfied,New User
"Good morning, how to raise complaint for ZENDStorage 10TB during peak hours.",Complaint,Informational,Existing User
"I wanted to check, very unhappy with ZENDBiz Connect 100 service for enterprise usage.",Complaint,Frustrated,Existing User
"Kindly help me with, my Prepaid Unlimited connection keeps disconnecting in USA during peak hours.",Technical,Frustrated,Existing User
"I wanted to check, ZENDIndustrial Sensor offers great value for money under my current subscription.",Product Inquiry,Satisfied,Existing User
"I wanted to check, ZENDFiber Home 1 Gbps offers great value for money for my office network.",Product Inquiry,Satisfied,Existing User
"I have a concern about, refund not processed for ZENDSmart Lighting as part of my annual plan.",Refund,Frustrated,Existing User
"Kindly help me with, billing experience has been smooth so far for enterprise usage.",Billing,Satisfied,New User
"Kindly help me with, refund eligibility for ZENDStorage 1TB since last week.",Refund,Informational,New User
"Kindly help me with, my Postpaid Platinum connection keeps disconnecting in Singapore for my home connection.",Technical,Frustrated,Existing User
"I have a concern about, price of ZENDSmart Lighting in Thailand for my office network.",Product Inquiry,Informational,New User
"Kindly help me with, how to raise complaint for ZENDFiber Home 300 Mbps after my recent upgrade.",Complaint,Informational,Existing User
"Hope you’re doing well, installation time for Postpaid Silver in Thailand for international usage.",Technical,Informational,Existing User
"Hello support, ZENDCloud VM Enterprise offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"I need assistance regarding, cost of Prepaid Basic 5GB is too high as part of my annual plan.",Product Inquiry,Frustrated,New User
"I would like to know, cost of Prepaid Unlimited is too high for my office network.",Product Inquiry,Frustrated,New User
"Hello support, network performance has been excellent on ZENDSmart Parking during peak hours.",Technical,Satisfied,Existing User
"Hi team, refund not processed for ZENDBiz Connect 1G for international usage.",Refund,Frustrated,New User
"Hi team, refund was credited quickly after installation.",Refund,Satisfied,New User
"Hope you’re doing well, very unhappy with ZENDCloud VM Enterprise service for my home connection.",Complaint,Frustrated,New User
"I would like to know, very unhappy with ZENDSmart Lighting service under my current subscription.",Complaint,Frustrated,Existing User
"Hello support, installation time for Prepaid Plus 20GB in USA after my recent upgrade.",Technical,Informational,Existing User
"Hi team, cost of ZENDFiber Home 300 Mbps is too high under my current subscription.",Product Inquiry,Frustrated,Existing User
"Good morning, internet speed is extremely slow on ZENDOffice Net 1G in Thailand as part of my annual plan.",Technical,Frustrated,Existing User
"Kindly help me with, refund not processed for ZENDBiz Connect 1G after my recent upgrade.",Refund,Frustrated,Existing User
"I would like to know, internet speed is extremely slow on ZENDStorage 1TB in USA for my home connection.",Technical,Frustrated,Existing User
"Can you please confirm, refund eligibility for ZENDStorage 10TB under my current subscription.",Refund,Informational,Existing User
"I would like to know, internet speed is extremely slow on ZENDSmart Traffic in India for my office network.",Technical,Frustrated,New User
"Hello support, ZENDFleet IoT offers great value for money for my home connection.",Product Inquiry,Satisfied,New User
"Kindly help me with, cost of ZENDEnterprise Ultra is too high under my current subscription.",Product Inquiry,Frustrated,Existing User
"Good morning, billing charges for ZENDSmart Lighting seem incorrect in India as part of my annual plan.",Billing,Frustrated,Existing User
"Good morning, price of ZENDCloud VM Basic in USA for enterprise usage.",Product Inquiry,Informational,New User
"I need assistance regarding, ZENDOffice Net 500 offers great value for money for my home connection.",Product Inquiry,Satisfied,New User
"I would like to know, network performance has been excellent on ZENDBiz Connect 100 for my home connection.",Technical,Satisfied,Existing User
"Hi team, cost of Prepaid Unlimited is too high for my office network.",Product Inquiry,Frustrated,Existing User
"I have a concern about, refund not processed for ZENDSmart Traffic since last week.",Refund,Frustrated,Existing User
"Can you please confirm, installation time for ZENDIndustrial Sensor in Singapore during peak hours.",Technical,Informational,Existing User
"I need assistance regarding, billing charges for ZENDBiz Connect 100 seem incorrect in Singapore after installation.",Billing,Frustrated,Existing User
"Can you please confirm, ZENDBiz Connect 500 offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"I wanted to check, cost of Prepaid Basic 5GB is too high after my recent upgrade.",Product Inquiry,Frustrated,Existing User
"Hello support, internet speed is extremely slow on ZENDArchive Storage in Thailand for enterprise usage.",Technical,Frustrated,Existing User
"Hi team, explain billing cycle for ZENDOffice Net 1G for enterprise usage.",Billing,Informational,Existing User
"Can you please confirm, how to raise complaint for Prepaid Plus 20GB as part of my annual plan.",Complaint,Informational,Existing User
"I have a concern about, refund eligibility for ZENDStorage 1TB during peak hours.",Refund,Informational,Existing User
"Hope you’re doing well, price of ZENDSmart Traffic in Thailand since last week.",Product Inquiry,Informational,Existing User
"Good morning, network performance has been excellent on ZENDStorage 10TB as part of my annual plan.",Technical,Satisfied,Existing User
"Kindly help me with, very unhappy with ZENDBiz Connect 1G service for my home connection.",Complaint,Frustrated,Existing User
"I would like to know, ZENDSmart Parking offers great value for money for international usage.",Product Inquiry,Satisfied,New User
"I have a concern about, my ZENDFleet IoT connection keeps disconnecting in USA after my recent upgrade.",Technical,Frustrated,Existing User
"Kindly help me with, explain billing cycle for ZENDArchive Storage after my recent upgrade.",Billing,Informational,Existing User
"I have a concern about, network performance has been excellent on Prepaid Plus 20GB under my current subscription.",Technical,Satisfied,Existing User
"Kindly help me with, refund not processed for ZENDSmart Traffic during peak hours.",Refund,Frustrated,Existing User
"I have a concern about, price of ZENDFiber Home 1 Gbps in India since last week.",Product Inquiry,Informational,Existing User
"Hello support, support resolved my issue professionally for enterprise usage.",Complaint,Satisfied,New User
"I wanted to check, installation time for Prepaid Plus 20GB in Singapore during peak hours.",Technical,Informational,New User
"I would like to know, price of Postpaid Gold in India for my home connection.",Product Inquiry,Informational,New User
"Hope you’re doing well, refund not processed for Prepaid Basic 5GB since last week.",Refund,Frustrated,Existing User
"Hello support, network performance has been excellent on ZENDFiber Home 1 Gbps for international usage.",Technical,Satisfied,Existing User
"I would like to know, internet speed is extremely slow on ZENDCloud VM Enterprise in Thailand for my office network.",Technical,Frustrated,Existing User
"I wanted to check, network performance has been excellent on ZENDEnterprise Dedicated under my current subscription.",Technical,Satisfied,Existing User
"Can you please confirm, how to raise complaint for ZENDBiz Connect 1G for enterprise usage.",Complaint,Informational,New User
"Kindly help me with, ZENDSmart Traffic offers great value for money after installation.",Product Inquiry,Satisfied,New User
"I would like to know, very unhappy with ZENDSmart Traffic service for my home connection.",Complaint,Frustrated,Existing User
"Good morning, billing charges for ZENDStorage 10TB seem incorrect in Singapore during peak hours.",Billing,Frustrated,New User
"I wanted to check, very unhappy with Prepaid Unlimited service for my office network.",Complaint,Frustrated,Existing User
"I would like to know, refund eligibility for ZENDBiz Connect 500 since last week.",Refund,Informational,New User
"Hi team, price of ZENDStorage 10TB in Singapore for international usage.",Product Inquiry,Informational,New User
"Can you please confirm, billing charges for Postpaid Gold seem incorrect in India for my office network.",Billing,Frustrated,Existing User
"Can you please confirm, explain billing cycle for Prepaid Unlimited after installation.",Billing,Informational,Existing User
"I need assistance regarding, very unhappy with ZENDEnterprise Ultra service after installation.",Complaint,Frustrated,Existing User
"Good morning, installation time for ZENDFleet IoT in India under my current subscription.",Technical,Informational,New User
"Good morning, features included in ZENDFiber Home 300 Mbps as part of my annual plan.",Product Inquiry,Informational,New User
"Hi team, price of ZENDEnterprise Ultra in USA for my home connection.",Product Inquiry,Informational,New User
"I would like to know, internet speed is extremely slow on ZENDFleet IoT in Singapore since last week.",Technical,Frustrated,New User
"I wanted to check, cost of ZENDFiber Home 1 Gbps is too high after installation.",Product Inquiry,Frustrated,New User
"Hello support, internet speed is extremely slow on ZENDEnterprise Dedicated in India after my recent upgrade.",Technical,Frustrated,Existing User
"Can you please confirm, refund eligibility for ZENDBiz Connect 1G for international usage.",Refund,Informational,Existing User
"Kindly help me with, refund eligibility for ZENDOffice Net 500 for enterprise usage.",Refund,Informational,Existing User
"Can you please confirm, ZENDArchive Storage offers great value for money after my recent upgrade.",Product Inquiry,Satisfied,New User
"Hi team, price of ZENDStorage 1TB in India after installation.",Product Inquiry,Informational,New User
"Kindly help me with, internet speed is extremely slow on ZENDFiber Home 100 Mbps in USA during peak hours.",Technical,Frustrated,New User
"I wanted to check, internet speed is extremely slow on Postpaid Gold in India after installation.",Technical,Frustrated,Existing User
"I have a concern about, explain billing cycle for Postpaid Gold during peak hours.",Billing,Informational,Existing User
"Good morning, installation time for ZENDFiber Home 1 Gbps in Thailand during peak hours.",Technical,Informational,Existing User
"I wanted to check, network performance has been excellent on ZENDOffice Net 1G during peak hours.",Technical,Satisfied,New User
"Hi team, support resolved my issue professionally during peak hours.",Complaint,Satisfied,Existing User
"Hope you’re doing well, price of ZENDEnterprise Ultra in India as part of my annual plan.",Product Inquiry,Informational,New User
"I would like to know, cost of ZENDBiz Connect 500 is too high after installation.",Product Inquiry,Frustrated,New User
"Kindly help me with, installation time for ZENDBiz Connect 100 in USA after my recent upgrade.",Technical,Informational,Existing User
"Can you please confirm, network performance has been excellent on ZENDArchive Storage during peak hours.",Technical,Satisfied,Existing User
"I would like to know, network performance has been excellent on ZENDSmart Lighting for international usage.",Technical,Satisfied,Existing User
"Hope you’re doing well, installation time for ZENDBiz Connect 1G in USA for international usage.",Technical,Informational,Existing User
"I would like to know, price of ZENDIndustrial Sensor in India as part of my annual plan.",Product Inquiry,Informational,New User
"I wanted to check, cost of ZENDIndustrial Sensor is too high for my home connection.",Product Inquiry,Frustrated,Existing User
"I wanted to check, network performance has been excellent on ZENDCloud VM Enterprise after my recent upgrade.",Technical,Satisfied,New User
"Hello support, internet speed is extremely slow on Postpaid Gold in Thailand after my recent upgrade.",Technical,Frustrated,Existing User
"I wanted to check, my ZENDBiz Connect 100 connection keeps disconnecting in Thailand after installation.",Technical,Frustrated,Existing User
"Hello support, explain billing cycle for ZENDFiber Home 1 Gbps for my home connection.",Billing,Informational,Existing User
"I have a concern about, network performance has been excellent on ZENDEnterprise Ultra for enterprise usage.",Technical,Satisfied,Existing User
"Can you please confirm, cost of Postpaid Silver is too high for enterprise usage.",Product Inquiry,Frustrated,New User
"I have a concern about, price of ZENDSmart Lighting in Singapore after installation.",Product Inquiry,Informational,Existing User
"I wanted to check, cost of Prepaid Plus 20GB is too high for international usage.",Product Inquiry,Frustrated,New User
"Good morning, refund eligibility for ZENDSmart Lighting for my office network.",Refund,Informational,Existing User
"I wanted to check, price of Prepaid Plus 20GB in Thailand since last week.",Product Inquiry,Informational,New User
"I would like to know, Prepaid Plus 20GB offers great value for money as part of my annual plan.",Product Inquiry,Satisfied,Existing User
"I would like to know, cost of ZENDFiber Home 1 Gbps is too high after my recent upgrade.",Product Inquiry,Frustrated,New User
"Hello support, billing charges for ZENDFiber Home 300 Mbps seem incorrect in Singapore for enterprise usage.",Billing,Frustrated,Existing User
"I would like to know, internet speed is extremely slow on ZENDStorage 10TB in Singapore for enterprise usage.",Technical,Frustrated,Existing User
"Hope you’re doing well, cost of ZENDFleet IoT is too high for my home connection.",Product Inquiry,Frustrated,New User
"I need assistance regarding, very unhappy with ZENDOffice Net 500 service for international usage.",Complaint,Frustrated,New User
